sacc;stitle;sscinames
AB901618;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AOox_H_2012Dec_02;uncultured eukaryote
AB901620;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AOox_H_2012Dec_05;uncultured eukaryote
AB901634;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AOox_H_2012Dec_111;uncultured eukaryote
AB901638;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AS_K_2013Jan_07;uncultured eukaryote
AB901664;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AOox_H_2012Dec_25;uncultured eukaryote
AB901667;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AOox_H_2012Dec_29;uncultured eukaryote
AB901717;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AOox_H_2012Dec_92;uncultured eukaryote
AB901736;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AS_N_2012Sep_14;uncultured eukaryote
AB901822;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AS_K_2013Jan_07;uncultured eukaryote
AB901846;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AS_K_2013Jan_121;uncultured eukaryote
AB901847;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AS_K_2013Jan_122;uncultured eukaryote
AB901865;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AS_K_2013Jan_27;uncultured eukaryote
AB901876;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AS_K_2013Jan_42;uncultured eukaryote
AB901921;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AS_N_2012Dec_02;uncultured eukaryote
AB901922;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AS_N_2012Dec_03;uncultured eukaryote
AB902006;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AS_N_2012Dec_72;uncultured eukaryote
AB902048;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AS_S_2012Dec_116;uncultured eukaryote
AB902057;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AS_S_2012Dec_125;uncultured eukaryote
AB902058;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AS_S_2012Dec_126;uncultured eukaryote
AB902100;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AS_S_2012Dec_57;uncultured eukaryote
AB902108;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AS_S_2012Dec_66;uncultured eukaryote
AB902142;Uncultured eukaryote gene for 18S rRNA gene sequences may contain exons and introns, partial sequence, clone: AOox_H_2012Mar_06;uncultured eukaryote
AB902172;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AOox_H_2012Mar_47;uncultured eukaryote
AB902177;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AOox_H_2012Mar_52;uncultured eukaryote
AB902187;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AOox_H_2012Mar_72;uncultured eukaryote
AB902189;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AOox_H_2012Mar_74;uncultured eukaryote
AB902190;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AOox_H_2012Mar_75;uncultured eukaryote
AB902195;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AOox_H_2012Mar_80;uncultured eukaryote
AB902203;Uncultured eukaryote gene for 18S rRNA gene sequences may contain exons and introns, partial sequence, clone: AOox_H_2012Mar_89;uncultured eukaryote
AB902245;Uncultured eukaryote gene for 18S rRNA gene sequences may contain exons and introns, partial sequence, clone: AOan_H_2012Mar_38;uncultured eukaryote
AB902257;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AOan_H_2012Mar_50;uncultured eukaryote
AB902312;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: OD_A_2012Dec_121;uncultured eukaryote
AB902317;Uncultured eukaryote gene for 18S rRNA gene sequences may contain exons and introns, partial sequence, clone: OD_A_2012Dec_128;uncultured eukaryote
AB902347;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: OD_A_2012Dec_69;uncultured eukaryote
AB902356;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: OD_A_2012Dec_93;uncultured eukaryote
AB908750;Uncultured Moraxella sp. gene for 16S ribosomal RNA, partial sequence, clone: 3CP(+)2_59;uncultured Moraxella sp.
AB924237;Uncultured Stenoxybacter sp. gene for 16S ribosomal RNA, partial sequence, clone: DhS2-15;uncultured Stenoxybacter sp.
AB936719;Uncultured Phycisphaerae bacterium gene for 16S ribosomal RNA, partial sequence, clone: 6S4-17;uncultured Phycisphaerae bacterium
AB971027;Uncultured Chytridiales gene for 18S ribosomal RNA, partial sequence, clone: Jp13Ch03E;uncultured Chytridiales
AB971028;Uncultured Chytridiales gene for 18S ribosomal RNA, partial sequence, clone: Jp13Ch03S;uncultured Chytridiales
AB971030;Uncultured Chytridiales gene for 18S ribosomal RNA, partial sequence, clone: Jp13Ch05E;uncultured Chytridiales
AB971036;Uncultured Cryptomycota gene for 18S ribosomal RNA, partial sequence, clone: Jp13Cm06E;uncultured Cryptomycota
AB971039;Uncultured Cryptomycota gene for 18S ribosomal RNA, partial sequence, clone: Jp13Cm09E;uncultured Cryptomycota
AB971040;Uncultured Cryptomycota gene for 18S ribosomal RNA, partial sequence, clone: Jp13Cm10E;uncultured Cryptomycota
AB971041;Uncultured freshwater eukaryote gene for 18S ribosomal RNA, partial sequence, clone: JP13E01E;uncultured freshwater eukaryote
AB971046;Uncultured freshwater eukaryote gene for 18S ribosomal RNA, partial sequence, clone: JP13E05E;uncultured freshwater eukaryote
AB971049;Uncultured cryptophyte gene for 18S ribosomal RNA, partial sequence, clone: JP13E08S;uncultured Cryptophyta
AB971051;Uncultured cryptophyte gene for 18S ribosomal RNA, partial sequence, clone: JP13E10S;uncultured Cryptophyta
AB971052;Uncultured cryptophyte gene for 18S ribosomal RNA, partial sequence, clone: JP13E11S;uncultured Cryptophyta
AB971062;Uncultured cryptophyte gene for 18S ribosomal RNA, partial sequence, clone: JP13E21S;uncultured Cryptophyta
AB971063;Uncultured cryptophyte gene for 18S ribosomal RNA, partial sequence, clone: JP13E22S;uncultured Cryptophyta
AB971064;Uncultured cryptophyte gene for 18S ribosomal RNA, partial sequence, clone: JP13E23S;uncultured Cryptophyta
AB971087;Uncultured fungus gene for 18S ribosomal RNA, partial sequence, clone: Jp13Na01S;uncultured fungus
AB971088;Uncultured fungus gene for 18S ribosomal RNA, partial sequence, clone: Jp13Na02S;uncultured fungus
AB971107;Uncultured Rhizophydiales gene for 18S ribosomal RNA, partial sequence, clone: Jp13Rp01E;uncultured Rhizophydiales
AB971108;Uncultured Rhizophydiales gene for 18S ribosomal RNA, partial sequence, clone: Jp13Rp02E;uncultured Rhizophydiales
AB971109;Uncultured Rhizophydiales gene for 18S ribosomal RNA, partial sequence, clone: Jp13Rp03E;uncultured Rhizophydiales
AB971112;Uncultured Rhizophydiales gene for 18S ribosomal RNA, partial sequence, clone: Jp13Rp05E;uncultured Rhizophydiales
AB971113;Uncultured Rhizophydiales gene for 18S ribosomal RNA, partial sequence, clone: Jp13Rp06S;uncultured Rhizophydiales
AB971114;Uncultured Rhizophydiales gene for 18S ribosomal RNA, partial sequence, clone: Jp13Rp06E;uncultured Rhizophydiales
AB971226;Uncultured fungus gene for 18S ribosomal RNA, partial sequence, isolate: BiwaAgA;uncultured fungus
AB971227;Uncultured Cryptomycota gene for 18S ribosomal RNA, partial sequence, isolate: BiwaAgC;uncultured Cryptomycota
AB971229;Uncultured fungus gene for 18S ribosomal RNA, partial sequence, isolate: BiwaFcA1;uncultured fungus
AB971230;Uncultured fungus gene for 18S ribosomal RNA, partial sequence, isolate: BiwaFcA2;uncultured fungus
AB971231;Uncultured Cryptomycota gene for 18S ribosomal RNA, partial sequence, isolate: BiwaFcC;uncultured Cryptomycota
AB971232;Uncultured fungus gene for 18S ribosomal RNA, partial sequence, isolate: InbaAaA;uncultured fungus
AB971233;Uncultured Cryptomycota gene for 18S ribosomal RNA, partial sequence, isolate: InbaAaC1;uncultured Cryptomycota
AB971234;Uncultured Cryptomycota gene for 18S ribosomal RNA, partial sequence, isolate: InbaAaC2;uncultured Cryptomycota
AB971237;Uncultured fungus gene for 18S ribosomal RNA, partial sequence, clone: Jp13Na02S;uncultured fungus
AB996607;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: M2;uncultured eukaryote
AB996611;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: M6;uncultured eukaryote
AB996613;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: M8;uncultured eukaryote
AB996615;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: M10;uncultured eukaryote
AB996616;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: M11;uncultured eukaryote
AB996617;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: M12;uncultured eukaryote
AB996618;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: M13;uncultured eukaryote
AB996619;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: M14;uncultured eukaryote
AB996620;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: M15;uncultured eukaryote
AB996621;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: M16;uncultured eukaryote
AB996626;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: O1;uncultured eukaryote
AB996629;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: O4;uncultured eukaryote
AB996632;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: O7;uncultured eukaryote
AB996634;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: O9;uncultured eukaryote
AB996638;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: O13;uncultured eukaryote
AB996639;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: O14;uncultured eukaryote
AB996652;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: A6;uncultured eukaryote
AB996657;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: A11;uncultured eukaryote
AB996665;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: A19;uncultured eukaryote
AB996670;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: A24;uncultured eukaryote
AB996678;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: D4;uncultured eukaryote
AB996681;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AH1;uncultured eukaryote
AB996683;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AH3;uncultured eukaryote
AB996686;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AH6;uncultured eukaryote
AB996687;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AH7;uncultured eukaryote
AB996689;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AH9;uncultured eukaryote
AF069866;Ice core clone 101-20 18S ribosomal RNA gene, partial sequence;Ice core clone 101-20
AF261665;Unidentified fungus sp. QPX small subunit ribosomal RNA gene, complete sequence;fungal contaminant of QPX isolate
AF290083;Uncultured marine stramenopile DH148-5-EKD53 18S ribosomal RNA gene, partial sequence;uncultured marine stramenopile DH148-5-EKD53
AF290540;Cryothecomonas longipes small subunit ribosomal RNA gene, complete sequence;Cryothecomonas longipes
AF318260;Uncultured basidiomycote Cons3 24S large subunit ribosomal RNA gene, partial sequence;uncultured basidiomycote Cons3
AF318261;Dinophyceae gen. sp. antifer_Cons4 isolate Cons4 24S large subunit ribosomal RNA gene, partial sequence;Dinophyceae gen. sp. antifer_Cons4
AF363225;Eukaryote marine clone ANT12-14 clone ANT12-14 18S ribosomal RNA gene, partial sequence;eukaryote marine clone ANT12-14
AF372731;Uncultured metazoan clone BAQA67 small subunit ribosomal RNA gene, partial sequence;uncultured metazoan
AF372732;Uncultured metazoan clone BAQA08 small subunit ribosomal RNA gene, partial sequence;uncultured metazoan
AF372733;Uncultured metazoan clone BAQA80 small subunit ribosomal RNA gene, partial sequence;uncultured metazoan
AF372734;Uncultured metazoan clone BAQA250 small subunit ribosomal RNA gene, partial sequence;uncultured metazoan
AF372740;Uncultured cercozoan clone LEMD083 small subunit ribosomal RNA gene, partial sequence;uncultured Cercozoa
AF372742;Uncultured eukaryote clone LEMD682 small subunit ribosomal RNA gene, partial sequence;uncultured eukaryote
AF372743;Uncultured eukaryote clone LEMD004 small subunit ribosomal RNA gene, partial sequence;uncultured eukaryote
AF372744;Uncultured eukaryote clone LEMD052 small subunit ribosomal RNA gene, partial sequence;uncultured eukaryote
AF372754;Uncultured stramenopile clone BAQA72 small subunit ribosomal RNA gene, partial sequence;uncultured stramenopile
AF372775;Uncultured eukaryote clone LEMD255 small subunit ribosomal RNA gene, partial sequence;uncultured eukaryote
AF372783;Uncultured alveolate clone BAQA279 small subunit ribosomal RNA gene, partial sequence;uncultured alveolate
AF372795;Uncultured eukaryote clone BOLA868 small subunit ribosomal RNA gene, partial sequence;uncultured eukaryote
AF418943;Uncultured bacterium clone HTA2 16S ribosomal RNA gene, partial sequence;uncultured bacterium
AF418960;Uncultured bacterium clone HTG11 16S ribosomal RNA gene, partial sequence;uncultured bacterium
AJ130864;Unidentified eukaryote 18S ribosomal RNA, clone LKM80, partial;uncultured eukaryote
AJ289985;Uncultured bacterium FukuN111 16S rRNA gene;uncultured bacterium FukuN111
AJ506000;Uncultured rhizosphere chytridiomycete partial 18S rRNA gene, clone RSC-CHU-18;uncultured rhizosphere chytridiomycete
AJ506003;Uncultured rhizosphere chytridiomycete partial 18S rRNA gene, clone RSC-CHU-23;uncultured rhizosphere chytridiomycete
AJ564767;Uncultured eukaryote 18S rRNA gene, clone RA010412.17;uncultured eukaryote
AJ564768;Uncultured eukaryote 18S rRNA gene, clone RA000412.136;uncultured eukaryote
AJ564769;Uncultured eukaryote 18S rRNA gene, clone RA001219.10;uncultured eukaryote
AJ867629;Uncultured Chytridiomycete partial 18S rRNA gene, clone WS 10-E02;uncultured Chytridiomycota
AJ867630;Uncultured Chytridiomycete partial 18S rRNA gene, clone WS 10-E14;uncultured Chytridiomycota
AJ867631;Uncultured Chytridiomycete partial 18S rRNA gene, clone WS 10-E15;uncultured Chytridiomycota
AJ867908;uncultured bacterium partial 16S rRNA gene, clone B5;uncultured bacterium
AJ875122;Uncultured nematode partial 18S rRNA gene, clone SType 5;Nematoda environmental sample
AJ875124;Uncultured nematode partial 18S rRNA gene, clone SType 7;Nematoda environmental sample
AJ879861;Uncultured organism 26S rRNA gene, clone ASt-45;uncultured organism
AJ965076;Uncultured marine picoplancton 18S rRNA gene, clone He000327_38;uncultured marine picoplankton
AJ965099;Uncultured marine picoplancton 18S rRNA gene, clone He000327_09;uncultured marine picoplankton
AJ965123;Uncultured marine picoplancton 18S rRNA gene, clone He000803_112;uncultured marine picoplankton
AJ965253;Uncultured marine picoplancton 18S rRNA gene, clone He001005_208;uncultured marine picoplankton
AM086132;Uncultured bacterium partial 16S rRNA gene, clone c5LKS47;uncultured bacterium
AM114800;Uncultured cercozoan partial 18S rRNA gene, clone WIM2;uncultured Cercozoa
AM114814;Uncultured fungus partial 18S rRNA gene, clone WIM27;uncultured fungus
AM158483;Uncultured ciliate partial 18S rRNA gene, clone Z30;uncultured ciliate
AM503930;Naked dinoflagellate UDNSW0701 partial 18S rRNA gene, isolate UDNSW0701;Naked dinoflagellate UDNSW0701
AM690926;Uncultured Verrucomicrobia bacterium partial 16S rRNA gene, clone TH3-32;uncultured Verrucomicrobia bacterium
AM901707;Uncultured basidiomycete ITS region including 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene, clone BF-OTU190;uncultured Basidiomycota
AM901732;Uncultured basidiomycete ITS region including 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene, clone BF-OTU196;uncultured Basidiomycota
AM901740;Uncultured basidiomycete ITS region including 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene, clone BF-OTU114;uncultured Basidiomycota
AM901743;Uncultured basidiomycete ITS region including 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene, clone BF-OTU198;uncultured Basidiomycota
AM901750;Uncultured basidiomycete ITS region including 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene, clone BF-OTU192;uncultured Basidiomycota
AM901758;Uncultured basidiomycete ITS region including 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene, clone BF-OTU191;uncultured Basidiomycota
AM901763;Uncultured basidiomycete ITS region including 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene, clone BF-OTU200;uncultured Basidiomycota
AM901765;Uncultured basidiomycete ITS region including 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene, clone BF-OTU202;uncultured Basidiomycota
AM901789;Uncultured basidiomycete ITS region including 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene, clone BF-OTU199;uncultured Basidiomycota
AM901834;Uncultured basidiomycete ITS region including 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene, clone BF-OTU201;uncultured Basidiomycota
AM901862;Uncultured basidiomycete ITS region including 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene, clone BF-OTU204;uncultured Basidiomycota
AM901883;Uncultured basidiomycete ITS region including 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene, clone BF-OTU195;uncultured Basidiomycota
